"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_item_bfury_datadriven_quelling_bonus_ranged"			"%QUELL RANGED DAMAGE:"
		"DOTA_Tooltip_ability_item_bfury_datadriven_cast_range_tooltip"			"CHOP TREE CAST RANGE:"
		"DOTA_Tooltip_ability_item_bfury_datadriven_cast_range_ward"			"CHOP WARD CAST RANGE:"
		
	    "DOTA_Tooltip_ability_item_travel_boots_3"	                                	 "Boots of Travel"
	    "DOTA_Tooltip_ability_item_travel_boots_3_Description"	                                 "Teleport: Teleports you to any point on the map and grants bonus attack speed\n\nDoes not work with Meepo clones."
	    "DOTA_Tooltip_ability_item_travel_boots_3_bonus_attack_speed"	                                 "+Attack Speed"
	    "DOTA_Tooltip_ability_item_travel_boots_3_bonus_movement_speed"	                                 "+$move_speed"

		"DOTA_Tooltip_ability_item_phase_boots_damage_block_melee"					"DAMAGE BLOCK (MELEE):"
		"DOTA_Tooltip_ability_item_phase_boots_damage_block_ranged"					"DAMAGE BLOCK (RANGED):"
		"DOTA_Tooltip_ability_item_phase_boots_block_chance"					"%BLOCK CHANCE:"
		"DOTA_Tooltip_ability_item_phase_boots_bonus_attack_speed"                    "+Attack Speed"
		"DOTA_Tooltip_ability_item_phase_boots_bonus_armor"                    "+$armor"

	    "DOTA_Tooltip_ability_item_desolator_2_datadriven"	                                 "Desolator 2"
	    "DOTA_Tooltip_ability_item_desolator_2_datadriven_Description"						"Passive: Corruption - Your attacks reduce target's armor for 15 seconds.\n\nDesolator 2 is a Unique Attack Modifier, and does not stack with other Unique Attack Modifiers."
        "DOTA_Tooltip_ability_item_desolator_2_datadriven_Lore"							"A wicked weapon, used in torturing political criminals."
        "DOTA_Tooltip_ability_item_desolator_2_datadriven_Note0"								"Armor reduction works on buildings."
        "DOTA_Tooltip_ability_item_desolator_2_datadriven_corruption_armor"					"ARMOR REDUCTION:"
        "DOTA_Tooltip_ability_item_desolator_2_datadriven_bonus_damage"						"+$damage"

		"DOTA_Tooltip_ability_item_boots_of_power"	                                 "Boots of Power"
	    "DOTA_Tooltip_ability_item_boots_of_power_Description"	                                 "Grants a large bonus to attack speed and all your attributes.\n\nDoes not work with Meepo clones."
	    "DOTA_Tooltip_ability_item_boots_of_power_bonus_movement_speed"	                                 "+$move_speed"
	    "DOTA_Tooltip_ability_item_boots_of_power_bonus_attack_speed"	                                  "+Attack Speed"
	    "DOTA_Tooltip_ability_item_boots_of_power_bonus_strength"	                                 "+All Attributes"
	    "DOTA_Tooltip_ability_item_boots_of_power_bonus_damage"										"+Damage"
		
	    "DOTA_Tooltip_ability_item_boots_of_strength"	                                 "Boots of Strength"
	    "DOTA_Tooltip_ability_item_boots_of_strength_Description"	                                "Active: Ultimate Strength - the user gains 100 strength for 6 seconds.\n\nDoes not work with Meepo clones."
	    "DOTA_Tooltip_ability_item_boots_of_strength_bonus_movement_speed"	                                 "+$move_speed"
	    "DOTA_Tooltip_ability_item_boots_of_strength_bonus_attack_speed"	                                  "+Attack Speed"
	    "DOTA_Tooltip_modifier_item_boots_of_strength_ultimate_strength"	                                 "Ultimate Strength"
	    "DOTA_Tooltip_ability_item_boots_of_strength_bonus_stat2"	                                 "+Intelligence"
	    "DOTA_Tooltip_ability_item_boots_of_strength_bonus_stat3"	                                 "+Agility"
	    "DOTA_Tooltip_ability_item_boots_of_strength_bonus_stat"	                                 "+Strength"
	    "DOTA_Tooltip_ability_item_boots_of_strength_bonus_damage"										"+Damage"
		
	    "DOTA_Tooltip_ability_item_boots_of_agility"	                                 "Boots of Agility"
	    "DOTA_Tooltip_ability_item_boots_of_agility_Description"	                                "Active: Indominable - the user gains 100 armor for 6 seconds.\n\nDoes not work with Meepo clones."
	    "DOTA_Tooltip_ability_item_boots_of_agility_bonus_movement_speed"	                                 "+$move_speed"
	    "DOTA_Tooltip_ability_item_boots_of_agility_bonus_attack_speed"	                                  "+Attack Speed"
	    "DOTA_Tooltip_modifier_item_boots_of_agility_armor"	                                 "Gaining 100 armor"
	    "DOTA_Tooltip_ability_item_boots_of_agility_bonus_stat2"	                                 "+Intelligence"
	    "DOTA_Tooltip_ability_item_boots_of_agility_bonus_stat3"	                                 "+Strength"
	    "DOTA_Tooltip_ability_item_boots_of_agility_bonus_stat"	                                 "+Agility"
	    "DOTA_Tooltip_ability_item_boots_of_agility_bonus_damage"										"+Damage"
		
	    "DOTA_Tooltip_ability_item_boots_of_intellect"	                                 "Boots of Intellect"
	    "DOTA_Tooltip_ability_item_boots_of_intellect_Description"	                                "Passive: Dark Null - decreases the magic resistance of all enemy units in a 1000 unit radius.\n\nDoes not work with Meepo clones."
	    "DOTA_Tooltip_ability_item_boots_of_intellect_bonus_movement_speed"	                                 "+$move_speed"
	    "DOTA_Tooltip_ability_item_boots_of_intellect_bonus_attack_speed"	                                  "+Attack Speed"
	    "DOTA_Tooltip_ability_item_boots_of_intellect_bonus_damage"										"+Damage"
	    "DOTA_Tooltip_ability_item_boots_of_intellect_bonus_stat2"	                                 "+Agility"
	    "DOTA_Tooltip_ability_item_boots_of_intellect_bonus_stat3"	                                 "+Strength"
	    "DOTA_Tooltip_ability_item_boots_of_intellect_bonus_stat"	                                 "+Intelligence"

	    "DOTA_Tooltip_modifier_magic_null"	                                                                 "Boots of Intellect"
        "DOTA_Tooltip_modifier_magic_null_Description"	                                                                 "Magic resistance reduced by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
		
	    "DOTA_Tooltip_ability_item_horde_ethereal_blade"	                                 "Ether Cannon"
	    "DOTA_Tooltip_ability_item_horde_ethereal_blade_Description"	                                 "Launches a projectile which converts all targets in a 600 unit radius to ethereal form, increasing any incoming magic damage they take, while rendering them immune to physical damage and unable to attack. If the target is an enemy, it is also slowed, and takes 2x your primary attribute + 75 as magical damage."
	    "DOTA_Tooltip_ability_item_horde_ethereal_blade_blast_damage_base"	                                 "DAMAGE BASE:"
	    "DOTA_Tooltip_ability_item_horde_ethereal_blade_bonus_agility"	                                 "+Agility"
	    "DOTA_Tooltip_ability_item_horde_ethereal_blade_bonus_strength"	                                 "+Strength"
	    "DOTA_Tooltip_ability_item_horde_ethereal_blade_bonus_intellect"	                                  "+Intelligence"
	    "DOTA_Tooltip_ability_item_horde_ethereal_blade_duration"	                                  "DURATION:"

		"DOTA_Tooltip_ability_item_horde_ghost"	                                 "Ghost Scepter"
	    "DOTA_Tooltip_ability_item_horde_ghost_Description"	                                 "Enter ghost form, becoming immune to physical damage, yet unable to attack and taking 40% extra magic damage."
	    "DOTA_Tooltip_ability_item_horde_ghost_bonus_all_stats"	                                  "+Stats"
	    "DOTA_Tooltip_ability_item_horde_ghost_duration"	                                  "DURATION:"
	    "DOTA_Tooltip_ability_item_horde_ghost_extra_spell_damage_percent"	                                  "EXTRA MAGIC DAMAGE:"
		
		"DOTA_Tooltip_ability_item_hoard_dagon"	                                          "Horde Dagon"
		"DOTA_Tooltip_ability_item_hoard_dagon_Description"	                              "Fires pure energy that damages enemies in a wide area"
	    "DOTA_Tooltip_ability_item_hoard_dagon_damage"	                                  "DAMAGE"
	    "DOTA_Tooltip_ability_item_hoard_dagon_cooldown"	                              "COOLDOWN:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_bonus_intellect"	                          "+Intelligence"
	    "DOTA_Tooltip_ability_item_hoard_dagon_bonus_all_stats"	                          "+Stats"
	    "DOTA_Tooltip_ability_item_hoard_dagon_bonus_damage"	                          "+Damage"
	    "DOTA_Tooltip_ability_item_hoard_dagon_range_tooltip"	                          "RANGE:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_radius"	                                  "RADIUS:"	
		"DOTA_Tooltip_ability_item_hoard_dagon_2"	                                          "Horde Dagon"
	    "DOTA_Tooltip_ability_item_hoard_dagon_2_Description"	                              "Fires pure energy that damages enemies in a wide area"
	    "DOTA_Tooltip_ability_item_hoard_dagon_2_damage"	                                  "DAMAGE"
	    "DOTA_Tooltip_ability_item_hoard_dagon_2_cooldown"	                              "COOLDOWN:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_2_bonus_intellect"	                          "+Intelligence"
	    "DOTA_Tooltip_ability_item_hoard_dagon_2_bonus_all_stats"	                          "+Stats"
	    "DOTA_Tooltip_ability_item_hoard_dagon_2_bonus_damage"	                          "+Damage"
	    "DOTA_Tooltip_ability_item_hoard_dagon_2_range_tooltip"	                          "RANGE:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_2_radius"	                                  "RADIUS:"	
		"DOTA_Tooltip_ability_item_hoard_dagon_3"	                                          "Horde Dagon"
	    "DOTA_Tooltip_ability_item_hoard_dagon_3_Description"	                              "Fires pure energy that damages enemies in a wide area"
	    "DOTA_Tooltip_ability_item_hoard_dagon_3_damage"	                                  "DAMAGE"
	    "DOTA_Tooltip_ability_item_hoard_dagon_3_cooldown"	                              "COOLDOWN:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_3_bonus_intellect"	                          "+Intelligence"
	    "DOTA_Tooltip_ability_item_hoard_dagon_3_bonus_all_stats"	                          "+Stats"
	    "DOTA_Tooltip_ability_item_hoard_dagon_3_bonus_damage"	                          "+Damage"
	    "DOTA_Tooltip_ability_item_hoard_dagon_3_range_tooltip"	                          "RANGE:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_3_radius"	                                  "RADIUS:"	
		"DOTA_Tooltip_ability_item_hoard_dagon_4"	                                          "Horde Dagon"
	    "DOTA_Tooltip_ability_item_hoard_dagon_4_Description"	                              "Fires pure energy that damages enemies in a wide area"
	    "DOTA_Tooltip_ability_item_hoard_dagon_4_damage"	                                  "DAMAGE"
	    "DOTA_Tooltip_ability_item_hoard_dagon_4_cooldown"	                              "COOLDOWN:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_4_bonus_intellect"	                          "+Intelligence"
	    "DOTA_Tooltip_ability_item_hoard_dagon_4_bonus_all_stats"	                          "+Stats"
	    "DOTA_Tooltip_ability_item_hoard_dagon_4_bonus_damage"	                          "+Damage"
	    "DOTA_Tooltip_ability_item_hoard_dagon_4_range_tooltip"	                          "RANGE:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_4_radius"	                                  "RADIUS:"	
		"DOTA_Tooltip_ability_item_hoard_dagon_5"	                                          "Horde Dagon"
	    "DOTA_Tooltip_ability_item_hoard_dagon_5_Description"	                              "Fires pure energy that damages enemies in a wide area"
	    "DOTA_Tooltip_ability_item_hoard_dagon_5_damage"	                                  "DAMAGE"
	    "DOTA_Tooltip_ability_item_hoard_dagon_5_cooldown"	                              "COOLDOWN:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_5_bonus_intellect"	                          "+Intelligence"
	    "DOTA_Tooltip_ability_item_hoard_dagon_5_bonus_all_stats"	                          "+Stats"
	    "DOTA_Tooltip_ability_item_hoard_dagon_5_bonus_damage"	                          "+Damage"
	    "DOTA_Tooltip_ability_item_hoard_dagon_5_range_tooltip"	                          "RANGE:"
	    "DOTA_Tooltip_ability_item_hoard_dagon_5_radius"	                                  "RADIUS:"	
		
		"DOTA_Tooltip_ability_item_hoard_magic_stick"	                                          "Horde Stick"
	    "DOTA_Tooltip_ability_item_hoard_magic_stick_Description"	                              "Gains a charge for each enemy that dies nearby - activate to convert the charges to health and mana"
	    "DOTA_Tooltip_ability_item_hoard_magic_stick_radius"	                                  "RADIUS:"
	    "DOTA_Tooltip_ability_item_hoard_magic_stick_restore_per_charge"	                       "RESTORE PER CHARGE:"
	    "DOTA_Tooltip_ability_item_hoard_magic_stick_max_charges"	                       "MAX CHARGES:"

	    "DOTA_Tooltip_modifier_item_magic_stick_charges"	                              "Horde Stick"
	    "DOTA_Tooltip_modifier_item_magic_stick_charges_Description"	                              "Gaining 1 charge per kill"

		"DOTA_Tooltip_ability_item_hoard_magic_wand"	                                          "Horde Wand"
	    "DOTA_Tooltip_ability_item_hoard_magic_wand_Description"	                              "Gains a charge for each enemy that dies nearby - activate to convert the charges to health and mana"
	    "DOTA_Tooltip_ability_item_hoard_magic_stick_radius"	                                  "RADIUS:"
	    "DOTA_Tooltip_ability_item_hoard_magic_wand_restore_per_charge"	                       "RESTORE PER CHARGE:"
	    "DOTA_Tooltip_ability_item_hoard_magic_wand_max_charges"	                       "MAX CHARGES:"
	    "DOTA_Tooltip_ability_item_hoard_magic_wand_bonus_all_stats"	                       "+All Attributes"

	    "DOTA_Tooltip_modifier_item_magic_wand_charges"	                              "Horde Wand"
	    "DOTA_Tooltip_modifier_item_magic_wand_charges_Description"	                              "Gaining 1 charge per kill"

        "DOTA_Tooltip_ability_spectre_haunt_datadriven"								"Haunt"
        "DOTA_Tooltip_ability_spectre_haunt_datadriven_Description"					"Creates a spectral nemesis to defend your allies and towers."
        "DOTA_Tooltip_ability_spectre_haunt_datadriven_Lore"							"At the height of combat, Mercurial's physical manifestation shatters, and the shadowy pieces haunt those who still cling to life."
        "DOTA_Tooltip_ability_spectre_haunt_datadriven_duration"						"HAUNT DURATION:"
        "DOTA_Tooltip_ability_spectre_haunt_datadriven_tooltip_outgoing"				"%HAUNT DAMAGE:"
        "DOTA_Tooltip_ability_spectre_haunt_datadriven_tooltip_illusion_total_damage_incoming"		"%HAUNT DAMAGE TAKEN:"

        "DOTA_Tooltip_ability_puck_waning_rift_datadriven"											"Waning Rift"
        "DOTA_Tooltip_ability_puck_waning_rift_datadriven_Description"								"Puck releases a burst of faerie dust that deals damage and silences enemy units nearby. Affected units also have their base damage reduced."
        "DOTA_Tooltip_ability_puck_waning_rift_datadriven_Lore"									"With a mischievous grin, Puck spreads its enchanted powder which disrupts magical flow."
        "DOTA_Tooltip_ability_puck_waning_rift_datadriven_radius"									"RADIUS:"
        "DOTA_Tooltip_ability_puck_waning_rift_datadriven_silence_duration"						"DURATION:"
        "DOTA_Tooltip_ability_puck_waning_rift_datadriven_negative_damage_pct"		"DAMAGE REDUCTION:"

        "DOTA_Tooltip_ability_puck_dream_coil_datadriven"											"Dream Coil"
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_Description"								"Creates a coil of volatile magic that latches onto enemy units, stunning them for %stun_duration% seconds and damaging them.  If the enemy unit stretches the coil by moving too far away, it snaps, stunning and dealing additional damage.\n\nUpgradable by Aghanim's Scepter."
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_Lore"										"The Faerie Dragon sows confusion by forcing its enemies to vividly dream about their own mortality."
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_coil_duration"							"COIL DURATION:"
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_coil_init_damage_tooltip"							"INITIAL DAMAGE:"
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_coil_break_radius"						"BREAK RADIUS:"
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_coil_stun_duration"						"BREAK STUN DURATION:"
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_coil_break_damage"						"BREAK DAMAGE:"
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_coil_duration_scepter"					"SCEPTER COIL DURATION:"
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_coil_stun_duration_scepter"				"SCEPTER BREAK STUN DURATION:"
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_coil_break_damage_scepter"				"SCEPTER BREAK DAMAGE:"
        "DOTA_Tooltip_ability_puck_dream_coil_datadriven_aghanim_description"						"Increases damage from coil breaks, increases coil duration, coil break stun goes through spell immunity."

        "DOTA_Tooltip_modifier_dream_coil_tether_datadriven"						"Dream Coiled"
        "DOTA_Tooltip_modifier_dream_coil_tether_datadriven_Description"			"Tethered to the dream coil"

        "DOTA_Tooltip_ability_disruptor_glimpse_Description"					"Teleports the target hero or boss back to where it was 4 seconds ago.  Instantly kills illusions."

        "DOTA_Tooltip_ability_item_dragon_javelin"                          "Dragon Javelins"
        "DOTA_Tooltip_ability_item_dragon_javelin_Description"	                              "Passive: Ranged attacks spawn extra arrows that deal a percentage of your base damage."
        "DOTA_Tooltip_ability_item_dragon_javelin_bonus_damage"                          "+Damage"
        "DOTA_Tooltip_ability_item_dragon_javelin_bonus_agility"                          "+Agility"
        "DOTA_Tooltip_ability_item_dragon_javelin_bonus_strength"                          "+Strength"
        "DOTA_Tooltip_ability_item_dragon_javelin_bonus_health_regen"                          "+$hp_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_bonus_mana_regen_percentage"                          "+$mana_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_base_attack_range"                          "Attack Range Bonus:"
        "DOTA_Tooltip_ability_item_dragon_javelin_range"                          "Arrow Range"
        "DOTA_Tooltip_ability_item_dragon_javelin_projectile_speed"                          "Arrow Speed"
        "DOTA_Tooltip_ability_item_dragon_javelin_arrow_count"                          "Number of Arrows"
        "DOTA_Tooltip_ability_item_dragon_javelin_arrow_damage"                          "%Arrow Damage"

        "DOTA_Tooltip_ability_item_dragon_javelin_2"                          "Dragon Javelins 2"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_Description"	                              "Passive: Ranged attacks spawn extra arrows that deal a percentage of your base damage."
        "DOTA_Tooltip_ability_item_dragon_javelin_2_bonus_damage"                          "+Damage"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_bonus_speed"                          "+Attack Speed"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_bonus_strength"                          "+Strength"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_bonus_health_regen"                          "+$hp_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_bonus_mana_regen_percentage"                          "+$mana_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_base_attack_range"                          "Attack Range Bonus:"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_range"                          "Arrow Range"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_projectile_speed"                          "Arrow Speed"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_arrow_count"                          "Number of Arrows"
        "DOTA_Tooltip_ability_item_dragon_javelin_2_arrow_damage"                          "%Arrow Damage"

        "DOTA_Tooltip_ability_item_dragon_javelin_3"                          "Dragon Javelins 3"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_Description"	                              "Passive: Ranged attacks spawn extra arrows that deal a percentage of your base damage."
        "DOTA_Tooltip_ability_item_dragon_javelin_3_bonus_damage"                          "+Damage"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_bonus_speed"                          "+Attack Speed"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_bonus_strength"                          "+Strength"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_bonus_health_regen"                          "+$hp_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_bonus_mana_regen_percentage"                          "+$mana_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_base_attack_range"                          "Attack Range Bonus:"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_range"                          "Arrow Range"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_projectile_speed"                          "Arrow Speed"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_arrow_count"                          "Number of Arrows"
        "DOTA_Tooltip_ability_item_dragon_javelin_3_arrow_damage"                          "%Arrow Damage"

        "DOTA_Tooltip_ability_item_dragon_javelin_4"                          "Dragon Javelins 4"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_Description"	                              "Passive: Ranged attacks spawn extra arrows that deal a percentage of your base damage."
        "DOTA_Tooltip_ability_item_dragon_javelin_4_bonus_damage"                          "+Damage"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_bonus_speed"                          "+Attack Speed"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_bonus_strength"                          "+Strength"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_bonus_health_regen"                          "+$hp_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_bonus_mana_regen_percentage"                          "+$mana_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_base_attack_range"                          "Attack Range Bonus:"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_range"                          "Arrow Range"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_projectile_speed"                          "Arrow Speed"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_arrow_count"                          "Number of Arrows"
        "DOTA_Tooltip_ability_item_dragon_javelin_4_arrow_damage"                          "%Arrow Damage"

        "DOTA_Tooltip_ability_item_dragon_javelin_5"                          "Dragon Javelins 5"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_Description"	                              "Passive: Ranged attacks spawn extra arrows that deal a percentage of your base damage."
        "DOTA_Tooltip_ability_item_dragon_javelin_5_bonus_damage"                          "+Damage"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_bonus_speed"                          "+Attack Speed"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_bonus_strength"                          "+Strength"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_bonus_health_regen"                          "+$hp_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_bonus_mana_regen_percentage"                          "+$mana_regen"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_base_attack_range"                          "Attack Range Bonus:"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_range"                          "Arrow Range"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_projectile_speed"                          "Arrow Speed"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_arrow_count"                          "Number of Arrows"
        "DOTA_Tooltip_ability_item_dragon_javelin_5_arrow_damage"                          "%Arrow Damage"

        "DOTA_Tooltip_modifier_item_skadi_datadriven_cold_attack"					"Eye of Skadi Cold Attack"
        "DOTA_Tooltip_modifier_item_skadi_datadriven_cold_attack_Description"		"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_ability_item_skadi_datadriven"                                       "Eye of Skadi"
        "DOTA_Tooltip_ability_item_skadi_datadriven_Description"							"Passive: Cold Attack Splash - Each attack damages and slows all enemies in an area around the target."
        "DOTA_Tooltip_ability_item_skadi_datadriven_Lore"									"Extremely rare artifact, guarded by the azure dragons."
        "DOTA_Tooltip_ability_item_skadi_datadriven_bonus_all_stats"						"+$all"
        "DOTA_Tooltip_ability_item_skadi_datadriven_bonus_health"							"+$health"
        "DOTA_Tooltip_ability_item_skadi_datadriven_bonus_mana"							"+$mana"
        "DOTA_Tooltip_ability_item_skadi_datadriven_cold_movement_speed"					"%COLD MOVE SLOW:"
        "DOTA_Tooltip_ability_item_skadi_datadriven_cold_attack_speed"						"COLD ATTACK SLOW:"
        "DOTA_Tooltip_ability_item_skadi_datadriven_cold_duration"						"COLD DURATION:"
        "DOTA_Tooltip_ability_item_skadi_datadriven_cold_damage"					"COLD DAMAGE:"
        "DOTA_Tooltip_ability_item_skadi_datadriven_cold_radius"					"COLD RADIUS:"

        "DOTA_Tooltip_Ability_item_manta_2"				"Manta Style 2"

        "DOTA_Tooltip_ability_item_manta_2_Description"							"Active: Mirror Image - Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. Melee heroes have a %cooldown_melee% second cooldown on this ability, while for Ranged heroes the cooldown is %cooldown_ranged_tooltip% seconds.\n\nMelee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage.\n\nYasha-based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_2_Lore"								"An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_2_Note0"									"Has a 0.1 second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_2_Note1"									"Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_2_bonus_agility"							"+$agi"
        "DOTA_Tooltip_ability_item_manta_2_bonus_strength"						"+$str"
        "DOTA_Tooltip_ability_item_manta_2_bonus_intellect"						"+$int"
        "DOTA_Tooltip_ability_item_manta_2_bonus_attack_speed"					"+$attack"
        "DOTA_Tooltip_ability_item_manta_2_bonus_movement_speed"					"%+$move_speed"
        "DOTA_Tooltip_ability_item_manta_2_images_count"			"NUMBER OF IMAGES:"
        "DOTA_Tooltip_ability_item_manta_2_tooltip_damage_incoming_melee_total_pct"		"%MELEE IMAGE DAMAGE TAKEN:"
        "DOTA_Tooltip_ability_item_manta_2_tooltip_damage_outgoing_melee"			"%MELEE IMAGE DAMAGE:"
        "DOTA_Tooltip_ability_item_manta_2_tooltip_damage_incoming_ranged_total_pct"		"%RANGED IMAGE DAMAGE TAKEN:"
        "DOTA_Tooltip_ability_item_manta_2_tooltip_damage_outgoing_ranged"		"%RANGED IMAGE DAMAGE:"
        "DOTA_Tooltip_ability_item_manta_2_tooltip_illusion_duration"		"IMAGE DURATION:"

        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven"                    "Sange, Yasha and Atos"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_Description"					"Passive: Greater Maim - Each attack has a chance to slow the enemy's movement and attack speed for %maim_duration% seconds.\nActive: Cripple - Slows the target's movement speed.\n\nYasha-based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_Lore"						"Sange, Yasha and Atos, when attuned by the moonlight and used together, become an incredibly powerful combination."
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_bonus_damage"				"+$damage"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_bonus_all_stats"				"+$all"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_bonus_attack_speed"			"+$attack"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_bonus_health"					"+$health"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_movement_speed_percent_bonus"	"%+$move_speed"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_maim_chance"					"%MAIM CHANCE:"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_maim_slow_movement"			"%MAIM MOVEMENT SLOW:"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_maim_slow_attack"			"MAIM ATTACK SLOW:"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_maim_duration"				"MAIM DURATION:"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_cripple_movespeed_slow_pct"							"%CRIPPLE MOVE SLOW:"
        "DOTA_Tooltip_ability_item_sange_and_yasha_and_atos_datadriven_cripple_duration"						"CRIPPLE DURATION:"

        "DOTA_Tooltip_modifier_item_sange_and_yasha_and_atos_datadriven_cripple"				"Sange, Yasha and Atos Cripple"
        "DOTA_Tooltip_modifier_item_sange_and_yasha_and_atos_datadriven_cripple_Description"	"Crippled, movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%\nEnemies grant 40% accuracy when attacking."

        "DOTA_Tooltip_modifier_item_sange_and_yasha_and_atos_datadriven_greater_maim"			"Greater Maim"
        "DOTA_Tooltip_modifier_item_sange_and_yasha_and_atos_datadriven_greater_maim_Description" "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_ability_global_difficulty_buff"                     "Difficulty Modifier"
        "DOTA_Tooltip_ability_global_difficulty_buff_Description"                     "All enemy units deal more damage and take less damage depending upon the difficulty."
